|2025-02-18 09:02:08  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 09:02:54  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 09:02:54  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 09:02:54  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 09:02:54  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 09:02:57  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 09:15:27  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 09:15:27  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 09:15:27  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 09:15:27  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 09:15:29  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 09:35:42  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 09:35:42  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 09:35:42  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 09:35:42  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 09:35:47  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 09:35:47  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 09:35:48  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 11:03:18  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 11:03:18  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 11:03:18  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 11:03:18  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 11:03:21  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:03:21  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:04:34  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 11:04:34  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 11:04:34  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 11:04:34  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 11:04:38  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:04:38  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:04:39  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-02-18 11:04:49  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:04:49  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:22:03  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 11:22:03  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 11:22:03  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 11:22:03  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 11:22:08  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:22:08  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:23:13  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 11:23:13  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 11:23:13  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 11:23:13  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 11:23:16  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:23:16  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:25:02  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-02-18 11:25:02  |   vcbBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.VCBBasicInfo]   |
|2025-02-18 11:25:02  |   DB(VCB_BASICINFO  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-02-18 11:25:02  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-02-18 11:25:04  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-02-18 11:25:04  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-02-18 11:25:06  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
