|2025-03-25 17:36:34  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 17:36:35  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:36:35  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:36:36  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:36:36  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:36:36  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:36:42  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:36:42  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:36:43  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:36:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:36:43  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:37:58  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-25 17:37:58  |   VCBGojangController.List  |   조회된 데이터: 2건   |
|2025-03-25 17:37:58  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 17:38:00  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:38:00  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:38:01  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:38:01  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:38:01  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:39:42  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:39:42  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:39:42  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 17:39:43  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:39:43  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:39:43  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:41:53  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 17:41:55  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:41:55  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:41:56  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:41:56  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:41:57  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:42:05  |   CreateVCBMRRepo  |   오류 발생: 스칼라 변수 "@MR_Company"을(를) 선언해야 합니다.   |
|2025-03-25 17:42:46  |   CreateVCBMRRepo  |   오류 발생: 스칼라 변수 "@MR_Company"을(를) 선언해야 합니다.   |
|2025-03-25 17:43:45  |   CreateVCBMRRepo  |   오류 발생: 스칼라 변수 "@MR_Company"을(를) 선언해야 합니다.   |
|2025-03-25 17:44:04  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-25 17:44:04  |   VCBGojangController.List  |   조회된 데이터: 2건   |
|2025-03-25 17:44:04  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:44:04  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:44:04  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:44:12  |   TotalVCBGojangController.List  |   GetTotalVCBGojangListData 실행   |
|2025-03-25 17:44:12  |   VCBGojangController.List  |   조회된 데이터: 3건   |
|2025-03-25 17:44:13  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:44:13  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:44:14  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:44:14  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:44:14  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:45:33  |   CreateVCBMRRepo  |   오류 발생: 스칼라 변수 "@MR_Company"을(를) 선언해야 합니다.   |
|2025-03-25 17:45:42  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:45:42  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:45:44  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:45:44  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:49:10  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 17:49:10  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 17:49:11  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-03-25 17:49:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-03-25 17:49:11  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-03-25 17:49:13  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 17:49:17  |   CreateVCBMRRepo  |   오류 발생: 스칼라 변수 "@MR_Company"을(를) 선언해야 합니다.   |
|2025-03-25 18:18:47  |   TotalInfoController  |   GetGojangList Error: varchar 값 '기간3'을(를) 데이터 형식 int(으)로 변환하지 못했습니다.   |
|2025-03-25 18:18:48  |   TotalVCBMaintenanceController.List  |   GetTotalVCBMaintenanceListData 실행   |
|2025-03-25 18:18:48  |   VCBMaintenanceController.List  |   조회된 데이터: 0건   |
|2025-03-25 18:18:49  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
