|2025-04-25 15:05:52  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 15:05:53  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 15:06:02  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-25 15:06:07  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-04-25 17:50:06  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 17:50:06  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 17:50:10  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 17:50:10  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 17:50:19  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 17:50:19  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 17:50:20  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 17:50:20  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 17:50:23  |   TotalVCBChkController.List  |   GetTotalVCBChkListData 실행   |
|2025-04-25 17:50:23  |   VCBChkController.List  |   조회된 데이터: 14건   |
|2025-04-25 17:50:33  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-25 17:50:33  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-25 17:50:40  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-25 17:50:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-04-25 17:53:46  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-04-25 17:53:46  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
