|2025-07-11 09:02:50  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:02:50  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:02:51  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:02:51  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:03:09  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:03:09  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:03:11  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:03:11  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:29  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:29  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:36  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:36  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:37  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:40  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:40  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:42  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:42  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:04:53  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:04:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:05:08  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:05:08  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:05:10  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:05:10  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:05:21  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:05:21  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:05:22  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:05:22  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:13:28  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:13:28  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:13:30  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:13:30  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:13:31  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:13:31  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:13:31  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:13:31  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-07-11 09:14:19  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:14:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-07-11 09:14:20  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:14:20  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:21  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:14:21  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:22  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-07-11 09:14:22  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:14:22  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:22  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-07-11 09:14:27  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:14:27  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:27  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-07-11 09:14:47  |   ITRChk2Add  |   [CreateITRChk2Repo] Success=True, Message=ITR 정밀점검 데이터 추가 성공   |
|2025-07-11 09:14:47  |   ITRChkAdd2  |   [UpdateRiskMatrixHI] code=ITR001, hi=3, cof=17189.105230286, pof=0.0000   |
|2025-07-11 09:14:49  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:14:49  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:52  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:14:52  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:52  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-07-11 09:14:52  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:53  |   vcbBasicInfo Data  |   총 5 건 조회됨   |
|2025-07-11 09:14:53  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-07-11 09:14:58  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
