|2025-08-12 14:44:02  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-08-12 14:44:02  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-08-12 14:44:02  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-08-12 14:44:02  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-08-12 14:44:34  |   ITRBasicController.List  |   GetITRListData 실행   |
|2025-08-12 14:44:34  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-08-12 14:44:34  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-08-12 14:44:34  |   ITRBasicController.List  |   ITR 데이터 로드 성공   |
|2025-08-12 14:44:47  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-08-12 14:44:51  |   InterfaceTrBasicInfo Data  |   System.Collections.Generic.List`1[AMS_MVC.Models.ITRBasicInfo]   |
|2025-08-12 14:44:51  |   DB(ITR_BASICINFO  |   GetAllInterfaceTrBasicInfoRepo 동작 성공   |
|2025-08-12 14:44:51  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
