|2025-09-04 14:44:19  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 14:44:19  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 14:44:19  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 14:44:19  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 14:44:30  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 14:44:30  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 14:44:30  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-09-04 14:44:31  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 14:44:31  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 14:44:31  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 14:44:31  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 14:44:37  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 14:44:37  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 14:44:37  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 14:44:37  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2025-09-04 14:44:39  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2025-09-04 14:44:39  |   vcbCode 조회 :   |   VCB001   |
|2025-09-04 14:44:39  |   VCBChkController.List  |   조회된 데이터: 0건   |
|2025-09-04 14:44:42  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2025-09-04 14:44:42  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2025-09-04 14:44:42  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2025-09-04 14:44:46  |   VCBChkAdd  |   [CreateVCBChkRepo] Success=True, Message=VCB_CHK 등록 성공   |
|2025-09-04 14:44:46  |   VCBChkAdd  |   [UpdateRiskMatrixHI] code=VCB001, hi=1, baseCof=8589.562040025, pof%=0.0000, adjustedCof=0, ok=False   |
|2025-09-04 14:46:03  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2025-09-04 14:46:03  |   vcbBasicInfo Data  |   총 0 건 조회됨   |
