|2026-07-13 09:12:12  |   SPAREBasicController.List  |   GetSPAREListData 실행   |
|2026-07-13 09:12:12  |   DB(TB_SPARE_PART)  |   GetAllSPAREBasicInfoRepo 성공   |
|2026-07-13 09:12:20  |   SPAREBasicController.List  |   GetSPAREListData 실행   |
|2026-07-13 09:12:20  |   DB(TB_SPARE_PART)  |   GetAllSPAREBasicInfoRepo 성공   |
|2026-07-13 09:42:46  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 09:42:46  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 09:42:46  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 09:42:46  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 09:48:24  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 09:48:26  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 09:48:26  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 09:48:26  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 09:48:26  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 09:48:32  |   DB(COMPANY)  |   업체 목록을 성공적으로 가져왔습니다.   |
|2026-07-13 09:48:35  |   VCBBasicController.List  |   GetVCBListData 실행   |
|2026-07-13 09:48:35  |   vcbBasicInfo Data  |   총 1 건 조회됨   |
|2026-07-13 09:48:35  |   DB(VCB_BASICINFO)  |   GetAllVCBBasicInfoRepo 동작 성공   |
|2026-07-13 09:48:35  |   VCBBasicController.List  |   VCB 데이터 로드 성공   |
|2026-07-13 09:48:37  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2026-07-13 09:48:37  |   vcbCode 조회 :   |   VCB001   |
|2026-07-13 09:48:37  |   VCBChkController.List  |   조회된 데이터: 1건   |
|2026-07-13 09:48:53  |   VCBChkController.List  |   GetVCBChkListData 실행   |
|2026-07-13 09:48:53  |   vcbCode 조회 :   |   VCB001   |
